Up,"2015-11-27 10:02:59",OK,"0 hrs, 16 mins"
Down,"2015-11-27 08:34:57","Service Unavailable","1 hrs, 28 mins"
Up,"2015-11-27 07:48:31",OK,"0 hrs, 46 mins"
Down,"2015-11-27 07:04:01","Service Unavailable","0 hrs, 44 mins"
Up,"2015-11-27 05:53:30",OK,"1 hrs, 10 mins"
Down,"2015-11-27 03:51:06","Connection Timeout","2 hrs, 2 mins"
Up,"2015-11-27 03:45:54",OK,"0 hrs, 5 mins"
Down,"2015-11-27 01:08:36","Connection Timeout","2 hrs, 37 mins"
Up,"2015-11-27 01:03:35",OK,"0 hrs, 5 mins"
Down,"2015-11-26 22:54:38","Service Unavailable","2 hrs, 8 mins"
Up,"2015-11-26 22:43:03",OK,"0 hrs, 11 mins"
Down,"2015-11-26 22:42:33","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-26 22:37:14",OK,"0 hrs, 5 mins"
Down,"2015-11-26 19:28:05","Service Unavailable","3 hrs, 9 mins"
Up,"2015-11-26 19:11:48",OK,"0 hrs, 16 mins"
Down,"2015-11-26 16:01:54","Connection Timeout","3 hrs, 9 mins"
Up,"2015-11-26 15:33:21",OK,"0 hrs, 28 mins"
Down,"2015-11-26 14:47:41","Service Unavailable","0 hrs, 45 mins"
Up,"2015-11-26 14:37:25",OK,"0 hrs, 10 mins"
Down,"2015-11-26 11:09:15","Connection Timeout","3 hrs, 28 mins"
Up,"2015-11-26 11:04:14",OK,"0 hrs, 5 mins"
Down,"2015-11-26 08:11:39","Connection Timeout","2 hrs, 52 mins"
Up,"2015-11-26 08:06:16",OK,"0 hrs, 5 mins"
Down,"2015-11-26 07:38:48","Service Unavailable","0 hrs, 27 mins"
Up,"2015-11-26 07:26:04",OK,"0 hrs, 12 mins"
Down,"2015-11-25 14:35:10","Service Unavailable","16 hrs, 50 mins"
Up,"2015-11-25 14:12:25",OK,"0 hrs, 22 mins"
Down,"2015-11-25 13:00:42","Service Unavailable","1 hrs, 11 mins"
Up,"2015-11-25 12:15:45",OK,"0 hrs, 44 mins"
Down,"2015-11-25 11:56:46","Connection Timeout","0 hrs, 18 mins"
Up,"2015-11-25 10:13:47",OK,"1 hrs, 42 mins"
Down,"2015-11-25 09:59:07","Service Unavailable","0 hrs, 14 mins"
Up,"2015-11-25 09:36:47",OK,"0 hrs, 22 mins"
Down,"2015-11-25 09:34:38","Connection Timeout","0 hrs, 2 mins"
Up,"2015-11-25 08:51:15",OK,"0 hrs, 43 mins"
Down,"2015-11-25 08:37:11","Connection Timeout","0 hrs, 14 mins"
